timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1710103591290,980,Signup,200,OK,Load Test 1-5,text,true,,392,384,50,50,http://20.76.217.223/users,980,0,28
1710103591382,888,Signup,200,OK,Load Test 1-36,text,true,,392,384,50,50,http://20.76.217.223/users,888,0,32
1710103591766,504,Login,200,OK,Load Test 1-22,text,true,,460,237,50,50,http://20.76.217.223/login,504,0,25
1710103591382,888,Signup,200,OK,Load Test 1-4,text,true,,392,384,50,50,http://20.76.217.223/users,888,0,32
1710103591303,967,Signup,200,OK,Load Test 1-11,text,true,,392,384,50,50,http://20.76.217.223/users,967,0,31
1710103591296,974,Signup,200,OK,Load Test 1-1,text,true,,392,384,50,50,http://20.76.217.223/users,974,0,31
1710103591269,1001,Signup,200,OK,Load Test 1-21,text,true,,392,384,50,50,http://20.76.217.223/users,1001,0,33
1710103591303,974,Signup,200,OK,Load Test 1-39,text,true,,392,384,50,50,http://20.76.217.223/users,974,0,31
1710103591760,517,Login,200,OK,Load Test 1-19,text,true,,460,237,50,50,http://20.76.217.223/login,517,0,31
1710103591766,521,Login,200,OK,Load Test 1-29,text,true,,460,237,50,50,http://20.76.217.223/login,521,0,25
1710103591760,527,Login,200,OK,Load Test 1-30,text,true,,460,237,50,50,http://20.76.217.223/login,527,0,31
1710103591663,624,Login,200,OK,Load Test 1-43,text,true,,460,237,50,50,http://20.76.217.223/login,624,0,32
1710103591767,520,Login,200,OK,Load Test 1-31,text,true,,460,237,50,50,http://20.76.217.223/login,520,0,24
1710103591767,520,Login,200,OK,Load Test 1-34,text,true,,460,237,50,50,http://20.76.217.223/login,520,0,24
1710103591766,521,Login,200,OK,Load Test 1-28,text,true,,460,237,50,50,http://20.76.217.223/login,521,0,25
1710103591766,521,Login,200,OK,Load Test 1-2,text,true,,460,237,50,50,http://20.76.217.223/login,521,0,25
1710103591382,977,Signup,200,OK,Load Test 1-17,text,true,,392,384,50,50,http://20.76.217.223/users,977,0,32
1710103591374,985,Signup,200,OK,Load Test 1-35,text,true,,392,384,50,50,http://20.76.217.223/users,985,0,32
1710103591767,592,Login,200,OK,Load Test 1-48,text,true,,460,237,50,50,http://20.76.217.223/login,592,0,24
